dpto,nomdpto,barrio,NOM_BARRIO,estrato,nper,sexo,edad,ascendencia,primaria,primaria_finalizado,educacionMedia,educacionMedia_finalizado,educacionTecnica,educacionTecnica_finalizado,magisterio,magisterio_Finalizado,universisdad,universidad_Finalizado,noUniversitario,noUniversitario_finalizado,postgrado,postgrado_finalizado,actividad_economica,total_ingresos
1,MONTEVIDEO,30,Casavalle,1,1,2,36,4,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20661
1,MONTEVIDEO,30,Casavalle,1,2,1,43,1,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20833
1,MONTEVIDEO,30,Casavalle,1,3,2,14,4,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,30,Casavalle,1,4,1,34,4,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,17236
1,MONTEVIDEO,41,Aguada,3,1,1,81,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,17646
1,MONTEVIDEO,41,Aguada,3,2,2,46,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,11750
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,1,1,36,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,27312
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,2,2,35,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,14112
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,3,2,11,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,4,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,20,Pta. Rieles Bella Italia,3,5,2,6,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,57,Paso de la Arena,2,1,1,63,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,8000
1,MONTEVIDEO,53,Conciliacion,2,1,2,43,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,16751
1,MONTEVIDEO,53,Conciliacion,2,2,1,40,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,35751
1,MONTEVIDEO,53,Conciliacion,2,3,2,17,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,53,Conciliacion,2,4,2,12,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,53,Conciliacion,2,5,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,9,Buceo,4,1,2,58,3,2,1,2,1,3,0,3,0,3,0,2,1,3,0,2,25242
1,MONTEVIDEO,4,Cordon,4,1,2,69,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,32000
1,MONTEVIDEO,4,Cordon,4,2,2,38,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,16750
1,MONTEVIDEO,4,Cordon,4,3,1,38,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,30750
1,MONTEVIDEO,3,Barrio Sur,4,1,1,77,3,2,1,2,1,3,0,3,0,3,0,2,1,3,0,10,123000
1,MONTEVIDEO,3,Barrio Sur,4,2,2,80,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,5985
1,MONTEVIDEO,7,Punta Carretas,5,1,1,53,3,2,1,2,1,3,0,3,0,2,2,3,0,3,0,2,37601
1,MONTEVIDEO,7,Punta Carretas,5,2,2,47,3,2,1,2,1,2,1,3,0,2,1,3,0,3,0,2,19101
1,MONTEVIDEO,7,Punta Carretas,5,3,1,16,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,2,1200
1,MONTEVIDEO,52,Sayago,2,1,2,45,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,6,7808
1,MONTEVIDEO,52,Sayago,2,2,1,37,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,11000
1,MONTEVIDEO,52,Sayago,2,3,1,18,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,10000
1,MONTEVIDEO,52,Sayago,2,4,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,52,Sayago,2,5,2,5,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,52,Sayago,2,6,1,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,52,Sayago,2,7,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,MONTEVIDEO,1,Ciudad Vieja,4,1,2,45,3,2,1,2,1,3,0,3,0,2,2,2,1,3,0,2,34036
1,MONTEVIDEO,1,Ciudad Vieja,4,2,1,15,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,54,Belvedere,3,1,1,78,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,18500
1,MONTEVIDEO,54,Belvedere,2,1,1,58,3,2,1,2,2,2,2,3,0,3,0,3,0,3,0,2,25000
1,MONTEVIDEO,54,Belvedere,2,2,2,53,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,6,0
1,MONTEVIDEO,54,Belvedere,2,3,2,29,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,11,0
1,MONTEVIDEO,54,Belvedere,2,4,1,38,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,10000
1,MONTEVIDEO,54,Belvedere,2,5,1,71,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,9000
1,MONTEVIDEO,22,Ituzaingo,2,1,2,66,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,10,19000
1,MONTEVIDEO,22,Ituzaingo,2,2,2,33,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,19751
1,MONTEVIDEO,12,Malvin Norte,3,1,2,34,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,43333
1,MONTEVIDEO,12,Malvin Norte,3,2,1,15,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,54,Belvedere,3,1,2,43,3,2,1,2,1,2,1,3,0,2,1,3,0,3,0,2,30742
1,MONTEVIDEO,23,Union,2,1,2,75,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,17000
1,MONTEVIDEO,37,La Paloma Tomkinson,2,1,2,60,1,2,1,2,2,2,2,3,0,3,0,3,0,3,0,4,0
1,MONTEVIDEO,37,La Paloma Tomkinson,2,2,1,66,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,14500
1,MONTEVIDEO,6,Parque Rodo,5,1,2,58,3,2,1,2,1,3,0,3,0,2,2,3,0,3,0,10,45000
1,MONTEVIDEO,6,Parque Rodo,5,2,2,87,3,2,1,2,1,3,0,2,2,3,0,3,0,3,0,10,61950
1,MONTEVIDEO,39,Prado Nueva Savona,4,1,2,70,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,7700
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,1,1,36,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,2,13251
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,2,2,29,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,6,7179
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,3,1,11,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,4,1,8,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,5,1,7,1,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,6,1,5,1,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,36,Casabo Pajas Blancas,1,7,1,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,42,Reducto,3,1,2,34,3,2,1,2,2,2,1,3,0,3,0,3,0,3,0,2,8000
1,MONTEVIDEO,42,Reducto,3,2,1,34,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,41736
1,MONTEVIDEO,42,Reducto,3,3,2,9,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,8,Pocitos,5,1,1,47,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,26736
1,MONTEVIDEO,8,Pocitos,5,2,2,45,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,62532
1,MONTEVIDEO,8,Pocitos,5,3,2,10,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,8,Pocitos,5,4,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,39,Prado Nueva Savona,5,1,1,47,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,76601
1,MONTEVIDEO,39,Prado Nueva Savona,5,2,2,48,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,21601
1,MONTEVIDEO,39,Prado Nueva Savona,5,3,2,16,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,39,Prado Nueva Savona,5,4,2,14,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,39,Prado Nueva Savona,5,5,1,7,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,59,Colon Centro y Noroeste,2,1,1,48,3,2,1,3,0,2,1,3,0,3,0,3,0,3,0,2,23751
1,MONTEVIDEO,59,Colon Centro y Noroeste,2,2,2,46,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,11751
1,MONTEVIDEO,59,Colon Centro y Noroeste,2,3,2,20,3,2,1,2,1,1,2,3,0,3,0,3,0,3,0,3,0
1,MONTEVIDEO,19,Las Canteras,3,1,1,96,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,10,35000
1,MONTEVIDEO,19,Las Canteras,3,2,2,81,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,5000
1,MONTEVIDEO,23,Union,2,1,1,26,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,2,17442
1,MONTEVIDEO,23,Union,2,2,2,30,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,16442
1,MONTEVIDEO,5,Palermo,4,1,2,70,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20626
1,MONTEVIDEO,54,Belvedere,2,1,1,61,3,2,1,3,0,2,2,3,0,3,0,3,0,3,0,2,13601
1,MONTEVIDEO,13,Punta Gorda,5,1,1,62,3,2,1,2,1,3,0,3,0,2,2,3,0,3,0,2,41000
1,MONTEVIDEO,11,Malvin,4,1,2,68,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,21300
1,MONTEVIDEO,11,Malvin,4,2,2,40,3,2,1,2,2,2,1,3,0,3,0,3,0,3,0,2,17336
1,MONTEVIDEO,11,Malvin,4,3,1,16,3,2,1,1,2,3,0,3,0,3,0,3,0,3,0,7,0
1,MONTEVIDEO,59,Colon Centro y Noroeste,1,1,2,38,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,29697
1,MONTEVIDEO,59,Colon Centro y Noroeste,1,2,2,4,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,53,Conciliacion,2,1,1,31,3,2,1,2,1,3,0,3,0,3,0,3,0,3,0,2,19821
1,MONTEVIDEO,53,Conciliacion,2,2,2,30,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,18751
